SerialNumber,Alloy,Processing_Route,Condition,Mg_wt,Mn_wt,Fe_wt,Si_wt,Cu_wt,Zn_wt,Cr_wt,Ti_wt,Zr_wt,Other_wt,YS_mean_MPa,YS_low_MPa,YS_high_MPa,UTS_mean_MPa,UTS_low_MPa,UTS_high_MPa,EI_mean_pct,EI_low_pct,EI_high_pct,Source,Al_wt,Al_mol,Mg_mol,Mn_mol,Fe_mol,Si_mol,Cu_mol,Zn_mol,Cr_mol,Ti_mol,Zr_mol,Other_mol,total_mol,Al_atpct,Mg_atpct,Mn_atpct,Fe_atpct,Si_atpct,Cu_atpct,Zn_atpct,Cr_atpct,Ti_atpct,Zr_atpct,Other_atpct,YS_Pred_MPa,UTS_Pred_MPa,Elongation_Pred_%
E2,5A06,FSAM,as-built (+CNT),6.3,0.65,0.2,0.2,0.05,0.1,0.05,0.025,0.0,0,145.0,130.0,160.0,257.5,240.0,275.0,14.0,12.0,16.0,FSAM 5A06 + CNT study (CNT-modified),92.425,3.425495247,0.259205925,0.011831519,0.003581341,0.007121239,0.000786832,0.00152952,0.000961612,0.00052228,0.0,0,3.711035515,92.30564442,6.984733066,0.318819885,0.096505172,0.191893585,0.021202481,0.041215443,0.02591224,0.014073713,0.0,0,259.1815078817705,393.7981973104022,14.724590527723441
E3,5087,Conventional,base plate (H111),5.2,1.1,0.4,0.25,0.05,0.25,0.25,0.15,0.2,0,130.0,130.0,130.0,280.0,280.0,280.0,18.0,18.0,18.0,5087 WAAM filler/base data (Table 2 & 4),92.15,3.415303078,0.213947747,0.020022571,0.007162682,0.008901549,0.000786832,0.003823799,0.004808062,0.003133683,0.002192406,0,3.680082409,92.8050706,5.813667293,0.544079416,0.194633751,0.241884498,0.021380814,0.103905264,0.130650937,0.08515252,0.059574903,0,335.4122535807043,404.0327225968813,12.694627850656929
E4,6061,Conventional,6061-T0 sheet,1.0,0.075,0.35,0.6,0.275,0.125,0.195,0.075,0.0,0,59.0,54.9,63.1,128.4,123.5,133.3,30.8,29.0,32.6,"FRAM-6061 study (Table 4, base material)",97.305,3.606359913,0.041143798,0.001365175,0.006267347,0.021363717,0.004327574,0.0019119,0.003750288,0.001566841,0.0,0,3.688056554,97.78483222,1.115595625,0.037016116,0.169936307,0.579267616,0.117340221,0.051840302,0.101687391,0.042484204,0.0,0,191.38297613101687,258.8938474751288,16.307258873950268
E5,6061,FRAM,FRAM-6061 component,1.0,0.075,0.35,0.6,0.275,0.125,0.195,0.075,0.0,0,97.0,92.8,101.2,208.0,203.7,212.3,29.4,26.1,32.7,"FRAM-6061 study (Table 4, FRAM sample)",97.305,3.606359913,0.041143798,0.001365175,0.006267347,0.021363717,0.004327574,0.0019119,0.003750288,0.001566841,0.0,0,3.688056554,97.78483222,1.115595625,0.037016116,0.169936307,0.579267616,0.117340221,0.051840302,0.101687391,0.042484204,0.0,0,187.84721486382168,252.16641163346503,26.589932436685665
E6,ER5356,WAAM,baseline WAAM,5.0,0.4,0.4,0.25,0.1,0.3,0.1,0.15,0.0,0,112.2,112.2,112.2,239.4,239.4,239.4,21.8,21.8,21.8,5356 WAAM / RE-WAAM study (baseline),93.3,3.457924874,0.205718988,0.007280935,0.007162682,0.008901549,0.001573663,0.004588559,0.001923225,0.003133683,0.0,0,3.698208159,93.50271067,5.562666541,0.196877368,0.193679807,0.240698968,0.042552044,0.124075201,0.052004235,0.084735168,0.0,0,221.34908838630082,339.04147722297824,13.028431497529807
E7,ER5356,WAAM,RE-WAAM,5.0,0.4,0.4,0.25,0.1,0.3,0.1,0.15,0.0,0,160.4,160.4,160.4,298.2,298.2,298.2,27.3,27.3,27.3,5356 WAAM / RE-WAAM study (RE-WAAM),93.3,3.457924874,0.205718988,0.007280935,0.007162682,0.008901549,0.001573663,0.004588559,0.001923225,0.003133683,0.0,0,3.698208159,93.50271067,5.562666541,0.196877368,0.193679807,0.240698968,0.042552044,0.124075201,0.052004235,0.084735168,0.0,0,221.34908838630082,339.04147722297824,13.028431497529807
E8,ER5356,WAAM,U-RE-WAAM,5.0,0.4,0.4,0.25,0.1,0.3,0.1,0.15,0.0,0,203.7,203.7,203.7,337.1,337.1,337.1,30.3,30.3,30.3,5356 WAAM / RE-WAAM study (U-RE-WAAM),93.3,3.457924874,0.205718988,0.007280935,0.007162682,0.008901549,0.001573663,0.004588559,0.001923225,0.003133683,0.0,0,3.698208159,93.50271067,5.562666541,0.196877368,0.193679807,0.240698968,0.042552044,0.124075201,0.052004235,0.084735168,0.0,0,221.34908838630082,339.04147722297824,13.028431497529807
E9,7075,FSDAM,440°C + artificial aging,2.49,0.14,0.37,0.17,1.11,5.6,0.24,0.0,0.0,0,560.0,560.0,560.0,520.0,520.0,520.0,5.3,5.3,5.3,FSDAM 7075 study (440°C + aging),89.88,3.331171358,0.102448056,0.002548327,0.006625481,0.006053053,0.017467661,0.085653105,0.00461574,0.0,0.0,0,3.556582782,93.66213477,2.880519371,0.071651002,0.18628784,0.170192952,0.491136079,2.408297801,0.129780184,0.0,0.0,0,411.025667982446,440.75554553619014,9.31508300124597
E10,7075,Conventional,"extruded, peak-aged",2.49,0.14,0.37,0.17,1.11,5.6,0.24,0.0,0.0,0,513.0,513.0,513.0,577.0,577.0,577.0,7.1,7.1,7.1,FSDAM 7075 study (extruded reference),89.88,3.331171358,0.102448056,0.002548327,0.006625481,0.006053053,0.017467661,0.085653105,0.00461574,0.0,0.0,0,3.556582782,93.66213477,2.880519371,0.071651002,0.18628784,0.170192952,0.491136079,2.408297801,0.129780184,0.0,0.0,0,424.037977669792,469.604880856508,9.78341219108597
E11,5356-7A48,WAAM+HR,WAAM+HR plate,3.603,0.2155,0.119,0.059,0.154,2.6635,0.089,0.0565,0.0,0,280.2,280.2,280.2,392.3,392.3,392.3,22.1,22.1,22.1,Heterogeneous 5356-7A48 WAAM+HR study (WAAM+HR plate),93.0405,3.448498888,0.148210613,0.003922461,0.002130707,0.002100392,0.002423289,0.040738758,0.001711538,0.00118028,0.0,0,3.650916926,94.45569313,4.059544929,0.107437692,0.05836088,0.057530523,0.066374798,1.115850041,0.046879688,0.032328315,0.0,0,288.98557611496545,361.0834835342994,11.625883004798249
E12,2024,WAAM+IFSP+T6,IFSP-T6,1.51,0.46,0.18,0.04,4.21,0.0,0.0,0.11,0.0,0,353.0,353.0,353.0,470.0,470.0,470.0,10.5,10.5,10.5,2024 WAAM + IFSP + T6 study (IFSP-T6 condition),93.49,3.465159377,0.062114356,0.00837277,0.003222919,0.001423994,0.06624705,0.0,0.0,0.00229789,0.0,0,3.608838356,96.01869175,1.721173134,0.232007352,0.089306259,0.039458523,1.835689023,0.0,0.0,0.063673955,0.0,0,330.26470440609916,434.90057111148195,13.08809346626206
